column_name,column_type,null,key,default,extra
MONTH,DATE,YES,,,
ORIGIN,VARCHAR,YES,,,
ORIG_STATE,VARCHAR,YES,,,
DESTINATION,VARCHAR,YES,,,
DEST_STATE,VARCHAR,YES,,,
AIRCRAFT,VARCHAR,YES,,,
MILES_DISTANCE,BIGINT,YES,,,
FLIGHTS,BIGINT,YES,,,
PASSENGERS,BIGINT,YES,,,
FIRST_CLASS_PAX,BIGINT,YES,,,
PREMIUM_ECONOMY_PAX,BIGINT,YES,,,
ECONOMY_PAX,BIGINT,YES,,,
ASMS,BIGINT,YES,,,
SEATS,BIGINT,YES,,,
FLIGHT_HOURS,BIGINT,YES,,,
FIRST_CLASS SEATS,BIGINT,YES,,,
PREM_ECONOMY_SEATS,BIGINT,YES,,,
ECONOMY_SEATS,BIGINT,YES,,,
FREIGHT_LBS,BIGINT,YES,,,
FIRST_CLASS_REVENUE,BIGINT,YES,,,
PREM_ECONOMY_REVENUE,BIGINT,YES,,,
ECONOMY_REVENUE,BIGINT,YES,,,
BAGGAGE_REVENUE,BIGINT,YES,,,
OTHER_ANCILLARY_REVENUE,BIGINT,YES,,,
FREIGHT_REVENUE,BIGINT,YES,,,
AIRCRAFT_OPERATION_COST,BIGINT,YES,,,
AIRPORT_FEE_COST,BIGINT,YES,,,
CREW_AND_LABOR_COST,BIGINT,YES,,,
FUEL_COST,BIGINT,YES,,,
